Procesador Intel i5,Familia de procesadores i5,250,Activo,6,Generacion/6ta-8va-9na,21-02-2023,21-02-2023
Procesador Intel i7,Familia de procesadores i7,300,Activo,7,Generacion/4ta-10ma-12va,10-04-2023,10-04-2023
Procesador Ryzen 3,Familia de procesadores Ryzen 3,210,Inactivo,4,Modelo/1200-1300X,15-02-2023,10-04-2023
Procesador Ryzen 5,Familia de procesadores Ryezen 5,270,Activo,12,Modelo/1400-1500X-1600X,07-04-2023,07-04-2023
Tarjeta RAM Corsair,Tarjetas RAM DDR4 Corsair so-dimm,90,Inactivo,3,Memoria/4gb-8gb-12gb,21-03-2023,28-03-2023
Tarjeta RAM Kingston,Tarjetas RAM DDR4 Kingston dimm,60,Inactivo,20,Memoria/8gb-16gb,28-04-2023,28-04-2023
Tarjeta RAM Crucial,Tarjetas RAM DDR4 Crucial dimm,67,Activo,19,Memoria/4gb-12gb-16gb,16-03-2023,19-04-2023
Disco Duro Kingston,HDD Sata 2",20,Activo,23,Memoria/250gb-500gb,30-04-2023,30-04-2023
Disco Solido Kingston,SDD Sata 2",30,Activo,17,Memoria/500gb-1tb,29-04-2023,01-05-2023
Disco Solido Adata,SSD Sata 2",36,Activo,14,Memoria/250gb-500gb,06-04-2023,01-05-2023
